Product Index,median_rates,mean_rates
H0972006_S_F7,3.5,3.1
H0972006_S_196,1.5,2.7
H5912001_S_Xa0032,4.0,4.2
H0972006_S_325,2.5,2.9
H5912001_S_AP0010,5.0,3.6666666666666665
H0762001_S_XE500C13-K03US-800160302,5.0,4.857142857142857
H6725001_S_iSE_G_64_3A_U,5.0,4.571428571428571
S1116001_S_7521,5.0,4.857142857142857
H5912001_S_Xa0033,3.0,2.857142857142857
H5688002_S_DG007302973,5.0,4.833333333333333
S1116001_S_7845,4.0,3.5
H0966002_S_10203884A,2.5,2.6666666666666665
H5912001_S_Na0007_bk,5.0,3.4
H0972006_S_ELUGA_C_BLUE,3.0,3.0
H5683001_S_P1399,5.0,3.4
H6482001_S_128,5.0,5.0
H5912001_S_T0044_bk,3.5,3.25
S1116001_S_7869,5.0,4.75
H0972006_S_Lenovo_A1000,4.0,3.5
H6482001_S_110,5.0,4.666666666666667
H5023001_S_80QQ0014HH,4.0,4.333333333333333
H6588001_S_Huawei_P30Lite_Blue,5.0,5.0
H0972006_S_320,1.0,2.0
H6725001_S_i7_R_128_3A_U,5.0,4.333333333333333
H5912001_S_SY0012-bk,5.0,5.0
H5912001_S_MO0006_gd,4.0,3.3333333333333335
S1116001_S_7662,5.0,4.666666666666667
H5087001_S_hoda2319,5.0,5.0
H6652001_S_Nokia_106_BK,5.0,5.0
H0762001_S_Acer-SF314-56-52YM-007160309,5.0,5.0
S1116001_S_7663,3.5,3.5
H6588001_S_Huawei_P30Lite_White,5.0,5.0
H6588001_S_Samsung_TabA_8_2019_WiFi,5.0,5.0
H5683001_S_P1518,2.0,2.0
H6603001_S_Aspire_SF114_32_P1MD_NX_GXVCF_004,5.0,5.0
H0775001_S_AL04,1.0,1.0
H6588001_S_Huawei_Y9_2019_Purple,5.0,5.0
H0972006_S_zenfone_6,4.5,4.5
H0577001_S_XIA00278,1.5,1.5
H5967001_S_hd8,4.5,4.5
H5023001_S_80NV006XHH,5.0,5.0
H5023001_S_ZA2M0000HK,4.0,4.0
H0778001_S_Z8,2.5,2.5
H5912001_S_SAM0030_be,4.0,4.0
H6588001_S_Samsung_S10P_128_White,5.0,5.0
H0661001_S_NBOHPA-HPSTREAM11-ah113TU,3.0,3.0
H5023001_S_80U1002HHH_256,5.0,5.0
H6725001_S_i7_R_128_1_U,4.0,4.0
H5982001_S_catb30,3.0,3.0
H6588001_S_Huawei_M5Pro_Gold,5.0,5.0
H6603001_S_Aspire_SF114_32_P69T_NX_GZPCF_003,5.0,5.0
H0972006_S_Honor_10_Black,5.0,5.0
H0972006_S_ZenEar_BT,1.0,1.0
H6588001_S_Samsung_A70_6_Black,5.0,5.0
H6588001_S_Nokia_2720Flip_Black,5.0,5.0
H5912001_S_OP0010,4.0,4.0
H6588001_S_Samsung_S10P_512_White,5.0,5.0
H5087001_S_hoda1855,5.0,5.0
H5300001_S_AXMM1903C3EG2-32GBMBK,5.0,5.0
H5912001_S_EK0001,5.0,5.0
H6588001_S_Huawei_M5_Lite_8_LTE,4.0,4.0
H6588001_S_Samsung_S10_128_White,5.0,5.0
H5300001_S_ALGV405EBW6-128GBNPGY,5.0,5.0
H6588001_S_Huawei_Y7_Pro_2019_Black,5.0,5.0
H6588001_S_Samsung_A70_6_White,5.0,5.0
H0795001_S_CXX1238_BK,5.0,5.0
H5393002_S_1000553,5.0,5.0
H5300001_S_AXMM1901F7E4-64GBBK,5.0,5.0
H6391001_S_Noris,5.0,5.0
H6482001_S_132,5.0,5.0
H0972006_S_000163,1.0,1.0
H5300001_S_AHUJAT-AL003-32GBBK,1.0,1.0
H5393001_S_1001277,1.0,1.0
H5807001_S_4895076203495,5.0,5.0
H0800001_S_E558K503B,3.0,3.0
H6588001_S_Vivo_V15Pro_Blue,5.0,5.0
S1116001_S_8819,5.0,5.0
H6482001_S_177,5.0,5.0
H5087001_S_hoda1879,5.0,5.0
H0762001_S_NS13A1HK087P-140160099,4.0,4.0
H6588001_S_Huawei_P30_Black,5.0,5.0
H6588002_S_Samsung_A40s_Gold_CN,5.0,5.0
S1116001_S_8809,3.0,3.0
H5807001_S_4895076203471,3.0,3.0
H6302001_S_w1000047,1.0,1.0
H6588001_S_Oneplus_7_8_256_Black,5.0,5.0
H0972006_S_g9_plus,5.0,5.0
H5023001_S_80WK000SHH,5.0,5.0
H0610012_S_241-75-A00061-1,5.0,5.0
H6725001_S_i7_R_32_3A_U,4.0,4.0
H5087001_S_hoda1886,5.0,5.0
H6588001_S_Vivo_iQOO_8_128_Blue,5.0,5.0
H6672002_S_Round-Disc-Stylus-Black,5.0,5.0
H6588001_S_OP6t_8_128MirBlk,5.0,5.0
H6588001_S_OP6_8_128_White,5.0,5.0
H6725001_S_iSE_W_64_1_U,5.0,5.0
H0778001_S_X1_BK,4.0,4.0
H6482001_S_150,5.0,5.0
H6588001_S_OnePlus_7_8_256_NebulaBlue,5.0,5.0
H0972006_S_ld8x,3.0,3.0
H5912001_S_LG0011-pr,1.0,1.0
H0661001_S_NBOHPA-14-ce1031TX,4.0,4.0
H5023001_S_20FB0031HH,5.0,5.0
H6588001_S_Huawei_Y7_Pro_2019_Red,5.0,5.0
S1076001_S_193268301191,5.0,5.0
H5807001_S_4895076203440,4.0,4.0
H6588001_S_Vivo_Y95_Black,5.0,5.0
H6482001_S_172,5.0,5.0
H5023001_S_80SW001NHH,5.0,5.0
H5982001_S_cats41,5.0,5.0
H5912001_S_VI0011,5.0,5.0
H5912001_S_VI0012-be,5.0,5.0
H0775012_S_htcu12ltwp,5.0,5.0
H5087001_S_hoda9617,5.0,5.0
H6588001_S_Oneplus_7_8_256_Red,5.0,5.0
H7007001_S_SAMA205H01OG01,4.0,4.0
H6603001_S_IdeaPad_S340_14IWL_81N7007XHH,5.0,5.0
H6588001_S_Samsung_S10P_128_Black,5.0,5.0
H5300001_S_AAEIPA1723128GBGD,4.0,4.0
H5892002_S_129890-5085,3.0,3.0
H6800001_S_BGT0026,5.0,5.0
H5912001_S_AP0023-gd,5.0,5.0
S1076001_S_193268289345,5.0,5.0
H5912001_S_SN0001,1.0,1.0
H0775001_S_ZF4SELBLK,1.0,1.0
H0972006_S_T8,1.0,1.0
H6725001_S_i6_W_16_3A_U,5.0,5.0
H6588001_S_Nova_4_Blue,5.0,5.0
H6588001_S_Samsung_S10e_Black,5.0,5.0
H5912001_S_ME0001_be,1.0,1.0
H0775001_S_30151GY,5.0,5.0
H6588001_S_Samsung_S10_128_Green,5.0,5.0
H6588001_S_HTC_U12P_Black,5.0,5.0
H5683002_S_P2224,5.0,5.0
H0710001_S_STM-222-200JW-01,1.0,1.0
H5982001_S_blackberrykey2le64gbblk,5.0,5.0
H0762001_S_NP530XBB-K02HK-800160053,5.0,5.0
H6588001_S_Samsung_A70_8_Black,5.0,5.0
H5912001_S_Xa0015_bk,1.0,1.0
